Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
The Night Agent: Season 1,Yes,2023-03-23,812100000,7696.0,6.0,"['Biography', 'Drama', 'History']","persian empire,empire,5th century b.c.,achaemenid empire,persia",
Ginny & Georgia: Season 2,Yes,2023-01-05,665100000,5216.0,5.7,"['Comedy', 'Drama', 'Romance']","producer,three word title,headstrong,arranged marriage,mother","The film follows headstrong Ginny who meets Sunny for an arranged marriage, but turns him down, and then shows how Sunny teams up with Ginny&apos;s mother to win her love."
The Glory: Season 1 // 더 글로리: 시즌 1,Yes,2022-12-30,622800000,11869.0,8.4,['Short'],,
Wednesday: Season 1,Yes,2022-11-23,507700000,,,['Talk-Show'],youtube video,MsMojo counts down the top 10 Wednesday (2022) season one moments.
Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,503000000,50077.0,7.4,"['Drama', 'History', 'Romance']","prequel,queen,historical,england,queen charlotte character","Betrothed against her will to King George, young Charlotte arrives in London on her wedding day and faces scrutiny from the monarch&apos;s cunning mother."
You: Season 4,Yes,2023-02-09,440600000,45624.0,6.6,"['Comedy', 'Romance']","christmas,coming out,holidays,lesbian relationship,lesbian","A holiday romantic comedy that captures the range of emotions tied to wanting your family&apos;s acceptance, being true to yourself, and trying not to ruin Christmas."
La Reina del Sur: Season 3,No,2022-12-30,429600000,3323.0,7.9,"['Action', 'Crime', 'Drama']","telenovela,drug trafficking,cartel,femme fatale,kidnapping",
Outer Banks: Season 3,Yes,2023-02-23,402500000,,,,,
Ginny & Georgia: Season 1,Yes,2021-02-24,302100000,5216.0,5.7,"['Comedy', 'Drama', 'Romance']","producer,three word title,headstrong,arranged marriage,mother","The film follows headstrong Ginny who meets Sunny for an arranged marriage, but turns him down, and then shows how Sunny teams up with Ginny&apos;s mother to win her love."
FUBAR: Season 1,Yes,2023-05-25,266200000,35.0,7.6,"['Short', 'Comedy']",,Uzo Aduba auditioned for every single role in Orange is the New Black before being cast as Crazy Eyes.
Manifest: Season 4,Yes,2022-11-04,262600000,,,"['Documentary', 'Short']",,
Kaleidoscope: Limited Series,Yes,2023-01-01,252500000,,,,,
Firefly Lane: Season 2,Yes,2022-12-02,251500000,,,,,
The Mother,Yes,2023-05-12,249900000,44102.0,5.6,"['Action', 'Thriller']","female protagonist,assassin,daughter,danger,fight","While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life."
Physical: 100: Season 1 // 피지컬: 100: 시즌 1,Yes,2023-01-24,235000000,,,,,
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,Yes,2023-01-14,234800000,3963.0,7.8,"['Comedy', 'Drama', 'Romance']","teacher,tutor,mother daughter relationship,korean,romance drama",Retired ex national team female handball player has become a grocery store owner in order to look after her family while she grapples with her daughter&apos;s tutor&apos;s eating disorder.
Love Is Blind: Season 4,Yes,2023-03-24,229700000,,,,,
BEEF: Season 1,Yes,2023-04-06,221100000,7143.0,5.5,"['Drama', 'Family']","close up of eye,close up of eyes,close up of lips,close up of mouth,child",Wife and mother Miriam begins a downward emotional spiral as her husband avoids their collapsing marriage by immersing himself in his 11-year-old daughter&apos;s quest to become a spelling-bee champion.
The Diplomat: Season 1,Yes,2023-04-20,214100000,65.0,8.9,['Short'],,"Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the..."
Luther: The Fallen Sun,Yes,2023-03-10,209700000,60515.0,6.4,"['Crime', 'Drama', 'Mystery']","psychological thriller,serial killer,ice,cybercrime,blackmail",Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.
Fake Profile: Season 1 // Perfil falso: Temporada 1,No,2023-05-31,206500000,,,,,
Vikings: Valhalla: Season 2,Yes,2023-01-12,205500000,6.0,8.6,['Sport'],,
Extraction 2,Yes,2023-06-16,201800000,136009.0,7.0,"['Action', 'Thriller']","assassin,rescue,escape,mercenary,prison riot","After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission."
"XO, Kitty: Season 1",Yes,2023-05-18,200700000,,,['Short'],,
Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈,Yes,2023-04-15,194700000,,,,,
